Название,Co-Op [👁],PC/VR [👁],VR [👁],Дата выхода,Дата добавления [👁],Дата изменения,Жанры,Обложка,Описание,Оценка,Рейтинг,Ссылка,Статус
Sons Of The Forest,No,PC Игры,No,23 фев. 2023,"July 9, 2022 3:13 PM","March 3, 2023 1:25 PM"," Инди,  Приключенческие игры,  Симуляторы, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1326470/header.jpg?t=1651770807,"Sent to find a missing billionaire on a remote island, you find yourself in a cannibal-infested hellscape. Craft, build, and struggle to survive, alone or with friends, in this terrifying new open-world survival horror simulator.",,,https://store.steampowered.com/app/1326470/Sons_Of_The_Forest/,⌛ В планах
Project Missouri (?),No,PC Игры,No,2022,"July 9, 2022 3:15 PM","October 16, 2022 11:12 AM",,,"Студия Obsidian Entertainment планирует выпустить в 2022 году RPG под кодовым названием Project Missouri, которая будет похожа на Disco Elysium.",,,https://www.cybersport.ru/tags/games/insaider-obsidian-vypustit-v-2022-godu-rpg-v-stile-disco-elysium,⌛ В планах
Nova Drift,No,PC Игры,No,27 мар. 2019,"July 9, 2022 3:17 PM","October 16, 2022 11:12 AM"," Инди, Ранний доступ, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/858210/header.jpg?t=1647333348,"Nova Drift предлагает глубину механик и стратегии современных ARPG в формате классического аркадного космо-боевика. Управляйте постоянно меняющимся биомеханическим кораблем, сражайтесь с легионами странных и смертоносных противников и пронеситесь сквозь бездну вслед за умирающей звездой.",,93,https://store.steampowered.com/app/858210/Nova_Drift/,⌛ В планах
Adapt,No,PC Игры,No,Coming soon,"July 9, 2022 3:27 PM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры,  Ролевые игры,  Симуляторы, Казуальные игры, Ранний доступ, Стратегии",https://cdn.cloudflare.steamstatic.com/steam/apps/888780/header.jpg?t=1644587889,"To survive, you must guide your species through a constantly changing world. Compete with strange creatures for food and territory, and find your niche through careful evolutionary choices. The real question is not if you can survive, but for how long.",,,https://store.steampowered.com/app/888780/Adapt/,⌛ В планах
Voidigo,No,PC Игры,No,25 фев. 2021,"July 14, 2022 1:41 AM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры, Ранний доступ, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1304680/header.jpg?t=1645610963,Voidigo is a chaotic and colorful roguelite shooter with a focus on dynamic and unique boss fights. Equip the many weapons and powerups to fight back the void corruption throughout the worlds. Hunt or be hunted.,,91,https://store.steampowered.com/app/1304680/Voidigo/,⌛ В планах
Rain World: Downpour,Yes,PC Игры,No,28 мар. 2017,"July 30, 2022 9:46 AM","February 1, 2023 12:19 PM"," Инди,  Приключенческие игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/312520/header.jpg?t=1648496352,"Вы слизнекот. В мире полно опасностей, и вам придется справиться с ними в одиночку. Страшное наводнение унесло вас от родных и близких, и теперь вам приходится в одиночку добывать пропитание и искать укрытие от ливневых потоков, грозящих смыть все живое с лица земли.",,88,https://store.steampowered.com/app/1933390/Rain_World_Downpour/,⌛ В планах
Red Matter 2,No,VR Игры,Yes,18 авг. 2022,"August 8, 2022 1:00 AM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/2081470/header.jpg?t=1659749587,"Red Matter 2 is an adventure that takes place during a dystopian Cold War whose events unfold after Red Matter. It is the story of how people trapped in a reality created by their rulers, rebel against their destiny and fight to do the right thing.",,,https://store.steampowered.com/app/2081470/Red_Matter_2/,⌛ В планах
POPULATION: ONE,No,VR Игры,Yes,22 окт. 2020,"August 12, 2022 3:04 AM","October 16, 2022 11:12 AM",Экшены,https://cdn.cloudflare.steamstatic.com/steam/apps/691260/header.jpg?t=1647546308,Fight anywhere in this squad-based VR Battle Royale,,81,https://store.steampowered.com/app/691260/POPULATION_ONE/,⌛ В планах
Contractors,No,VR Игры,Yes,14 дек. 2018,"August 12, 2022 3:05 AM","October 16, 2022 11:12 AM"," Инди,  Симуляторы, Казуальные игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/963930/header.jpg?t=1651164843,"Contractors is a team-based competitive multiplayer shooter game for virtual reality devices. Experience the next level virtual warfare with hardcore controls, lethal weapons, customizable load-outs, and intense firefights. BECOME AN OPERATOR.",,80,https://store.steampowered.com/app/963930/Contractors/,⌛ В планах
In Death: Unchained,No,VR Игры,Yes,23 июля 2020 г.,"August 12, 2022 3:05 AM","October 16, 2022 11:12 AM"," Экшен, Шутеры",https://scontent.oculuscdn.com/v/t64.5771-25/38982714_283911823787964_3377682899941650551_n.jpg?stp=dst-jpg_q92_s720x720&_nc_cat=104&ccb=1-7&_nc_sid=79b88e&_nc_ohc=z9Tw4TfdZ9wAX91T_29&_nc_ht=scontent.oculuscdn.com&oh=00_AT9QYA4UkUZlKs90N-CMG8IWWRwRBarzmKCMQMc6Od0Hng&oe=62FAE844,,,87,https://www.oculus.com/experiences/quest/2334376869949242/?locale=ru_RU,⌛ В планах
Cosmodread,No,VR Игры,Yes,25 мар. 2021,"August 12, 2022 3:06 AM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1256060/header.jpg?t=1620726395,"Cosmodread — это VR рогалик в жанре хоррор на выживание, место действия которого происходит на разваливающемся корабле, полном монстров. Чтобы вернуться обратно на Землю вам придется исследовать корабль и выживать.",,,https://store.steampowered.com/app/1256060/Cosmodread/,⌛ В планах
Until You Fall,No,VR Игры,Yes,27 окт. 2020,"August 12, 2022 3:08 AM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/858260/header.jpg?t=1657758578,"В этой игре жанра roguelite фэнтези сочетается с синтвейвом, а битвы на мечах в виртуальной реальности — с физической активностью в реальном мире. Станьте сильнее, сражаясь с магическими чудовищами в невероятном неоновом мире!",,90,https://store.steampowered.com/app/858260/Until_You_Fall/,⌛ В планах
Ancient Dungeon,No,VR Игры,Yes,3 ноя. 2021,"August 12, 2022 3:08 AM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры,  Ролевые игры, Ранний доступ, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1125240/header.jpg?t=1657479972,Ancient Dungeon VR is a rogue-lite dungeon crawler with randomly generated dungeons. Uncover its secrets and challenge powerful bosses.,,89,https://store.steampowered.com/app/1125240/Ancient_Dungeon/,⌛ В планах
Backpack Hero,No,PC Игры,No,15 авг. 2022,"August 17, 2022 1:08 AM","October 16, 2022 11:12 AM",Ранний доступ,https://cdn.akamai.steamstatic.com/steam/apps/1970580/header.jpg?t=1660712481,"Время покорять Подземелье! Backpack Hero это roguelike игра про менеджмент инвентаря! Собирай редкие предметы, распределяй их в рюкзаке и побеждай врагов!",,,https://store.steampowered.com/app/1970580/Backpack_Hero/,⌛ В планах
Cuphead - The Delicious Last Course,Yes,PC Игры,No,30 июн. 2022,"September 4, 2022 8:07 AM","December 31, 2022 9:48 AM"," Инди, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1117850/header.jpg?t=1658257905,,⭐⭐,91,https://store.steampowered.com/app/1117850/Cuphead__The_Delicious_Last_Course/,🗑️ Брошена
SCP: Secret Files,No,PC Игры,No,13 сен. 2022,"September 13, 2022 2:56 PM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры,  Ролевые игры",https://cdn.akamai.steamstatic.com/steam/apps/1718130/header.jpg?t=1663080932,"SCP: Secret Files - набор паранормальных случаев из фонда SCP. Вы поступаете на работу помощником исследователя и проходите программу введения в должность, которая заставит вас подвергнуть сомнению все, что вы знаете.",,,https://store.steampowered.com/app/1718130/SCP_Secret_Files/,⌛ В планах
Timberborn,No,PC Игры,No,15 сен. 2021,"September 14, 2022 1:14 AM","October 16, 2022 11:12 AM"," Инди,  Симуляторы, Ранний доступ, Стратегии",https://cdn.akamai.steamstatic.com/steam/apps/1062090/header.jpg?t=1662640003,"Люди давно исчезли. Выживут ли бобры-дровосеки? Градостроительный симулятор со смекалистыми животными, высотными постройками, регулированием водопотока и смертоносными засухами. Высокое содержание дерева.",,91,https://store.steampowered.com/app/1062090/Timberborn/,⌛ В планах
Railbound,No,PC Игры,No,6 сен. 2022,"September 19, 2022 3:44 PM","October 16, 2022 11:12 AM"," Инди, Казуальные игры",https://cdn.akamai.steamstatic.com/steam/apps/1967510/header.jpg?t=1662451410,A relaxing puzzle game about fixing train connections and travelling the world!,,,https://store.steampowered.com/app/1967510/Railbound/,⌛ В планах
Biped,Yes,PC Игры,No,27 мар. 2020,"September 22, 2022 2:18 PM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры,  Симуляторы,  Спортивные игры, Казуальные игры, Стратегии, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/1071870/header.jpg?t=1663792412,"Biped — это динамичная приключенческая 3D-игра с реалистичной физикой для совместного прохождения. В ее основе — взаимодействие двух игроков, которые должны помогать друг другу в точно выбранные моменты.",,85,https://store.steampowered.com/app/1071870/Biped/,⌛ В планах
The Dark Pictures Anthology: The Devil in Me,Yes,PC Игры,No,Nov 18 2022,"September 22, 2022 2:36 PM","October 16, 2022 11:12 AM"," Приключенческие игры",https://cdn.cloudflare.steamstatic.com/steam/apps/1567020/header.jpg?t=1663147419,"Группа документалистов получает приглашение в современную копию «Замка убийств» серийного убийцы Г. Г. Холмса. По прибытии они обнаруживают, что за ними следят. И теперь уже не до рейтингов…",,,https://store.steampowered.com/app/1567020/The_Dark_Pictures_Anthology_The_Devil_in_Me/,⌛ В планах
Cataclysm: Dark Days Ahead,No,PC Игры,No,январь 2013 г.,"September 22, 2022 3:10 PM","October 16, 2022 11:12 AM"," Simulation,  Ролевые игры",,"Cataclysm: Dark Days Ahead is a turn-based survival game set in a post-apocalyptic world. Struggle to survive in a harsh, persistent, procedurally generated world. Scavenge the remnants of a dead civilization for food, equipment, or, if you are lucky, a vehicle with a full tank of gas to get you the hell out of Dodge. Fight to defeat or escape from a wide variety of powerful monstrosities, from zombies to giant insects to killer robots and things far stranger and deadlier, and against the others like yourself, that want what you have…",,,https://cataclysmdda.org/,⌛ В планах
Left 4 Dead 2 (VR Mod),Yes,VR Игры,Yes,17 ноя. 2009,"September 22, 2022 3:17 PM","October 16, 2022 11:12 AM",Экшены,https://cdn.akamai.steamstatic.com/steam/apps/550/header.jpg?t=1657220736,"Настоящий зомби-апокалипсис Left 4 Dead 2 (L4D2) — это долгожданный сиквел к обладательнице многих наград Left 4 Dead — лучшей кооперативной игре 2008 года. В этом кооперативном хоррор-шутере от первого лица вы вместе с друзьями пройдёте пять больших кампаний сквозь города, болота и кладбища Юга США, от Саванны и до Нового Орлеана.",,96,https://store.steampowered.com/app/550/Left_4_Dead_2/,⌛ В планах
Realms of Magic,No,PC Игры,No,20 июл. 2022,"September 22, 2022 3:39 PM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры,  Ролевые игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/490280/header.jpg?t=1658596233,"Conquer the Realms of Magic. A 2D Action RPG in an epic fantasy setting that gives you a great level of freedom and customization. Explore the open world of the Old Kingdom as a knight or a wizard. Or build a house, plant fruits, invest in livestock… become a farmer… that also sounds nice!",,78,https://store.steampowered.com/app/490280/Realms_of_Magic/,⌛ В планах
Hellsplit: Arena,No,PC Игры,No,9 сен. 2019,"September 24, 2022 3:50 AM","October 16, 2022 11:12 AM"," Ролевые игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/1039880/header.jpg?t=1663930084,Horror-slasher VR-игра с реалистичными и динамичными сражениями на аренах в мире темного фэнтези,,81,https://store.steampowered.com/app/1039880/Hellsplit_Arena/,⌛ В планах
Blood Trail,No,PC Игры,No,27 мар. 2019,"September 24, 2022 4:37 PM","October 16, 2022 11:12 AM","Ранний доступ, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/1032430/header.jpg?t=1657139427,"You are Wendigo. A hard-hearted contract killer tasked with annihilating a fanatical cult. With your trusted arsenal at the ready, experience what has been called ""The most violent game in VR"". EARLY ACCESS includes RAID, ARENA and SANDBOX modes with a story campaign and much more on the way.",,75,https://store.steampowered.com/app/1032430/Blood_Trail/,⌛ В планах
HARD BULLET,No,PC Игры,No,23 окт. 2020,"September 25, 2022 4:19 AM","October 16, 2022 11:12 AM"," Инди,  Приключенческие игры,  Симуляторы, Ранний доступ, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1294760/header.jpg?t=1656172191,"Брутальная песочница для VR с реалистичной физикой, взаимодействиями с противниками, жестокостью и расчлененкой, замедлением времени, кучей оружия и кинематографичными разрушениями окружения.",,82,https://store.steampowered.com/app/1294760/HARD_BULLET/,⌛ В планах
Song in the Smoke,No,PC Игры,No,16 дек. 2021,"September 25, 2022 4:34 AM","October 16, 2022 11:12 AM"," Приключенческие игры,  Симуляторы, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1787810/header.jpg?t=1641521690,"Сражайтесь с необычными зверями, покоряйте стихии и боритесь за выживание в Song in the Smoke",,,https://store.steampowered.com/app/1787810/Song_in_the_Smoke/,⌛ В планах
Gun Raiders,No,VR Игры,Yes,7 октября 2021 г.,"October 2, 2022 7:27 AM","October 16, 2022 11:12 AM",,,Gun Raiders is a free-to-play VR shooter! Chat with friends while you mow down enemies in multiple game modes while jetpacking through the air or climbing from wall to wall monkey-style! Race to the top of the leaderboards while customizing yourself with crazy meme skins in the Item Shop.,,,https://www.oculus.com/experiences/quest/3982869578392875/,⌛ В планах
Ravenbound,No,PC Игры,No,Coming Soon,"October 6, 2022 2:37 AM","October 16, 2022 11:12 AM"," Ролевые игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1307660/header.jpg?t=1661844415,"Бойтесь всего и ничего — ведь смерть в этом открытом мире лишь приближает вас к победе в непростом roguelite-боевике. Вы — сосуд древней энергии, чьи оружие и умения помогут исполнить ваше предназначение в этом опасном, но прекрасном фэнтезийном мире.",,,https://store.steampowered.com/app/1307660/Ravenbound/,⌛ В планах
Half Life 2 VR Mod,No,VR Игры,Yes,16 сен. 2022,"October 9, 2022 12:04 PM","January 29, 2023 5:44 AM"," Экшен, Глубокий сюжет, Приключения",,"Half Life 2: VR — это сторонняя модификация классической игры для ПК 2004 года от Valve Software, которая добавляет в оригинальную игру полную поддержку виртуальной реальности.",,93,https://store.steampowered.com/app/658920/HalfLife_2_VR_Mod/,⌛ В планах
DEVOUR,Yes,VR Игры,Yes,28 янв. 2021,"October 9, 2022 12:19 PM","October 16, 2022 11:12 AM"," Инди",https://cdn.akamai.steamstatic.com/steam/apps/1274570/header_alt_assets_0.jpg?t=1664457140,"DEVOUR - кооперативная хоррор-игра на выживание для 1-4 игроков. Остановите одержимых культистов, пока они не затащили вас в ад. Беги. Кричи. Прячся. Только не попадитесь.",,90,https://store.steampowered.com/app/1274570/DEVOUR/,⌛ В планах
Inkbound,Yes,PC Игры,No,2023,"October 15, 2022 3:56 PM","October 16, 2022 11:12 AM"," Инди,  Многопользовательские игры,  Ролевые игры, Стратегии",https://cdn.cloudflare.steamstatic.com/steam/apps/1062810/header.jpg?t=1664385761,"Go on co-op adventures in Inkbound, an online roguelike from the creators of Monster Train. Craft powerful character builds in procedurally generated runs and battle your way past the inky hordes with a unique active battle system.",,,https://store.steampowered.com/app/1062810/Inkbound/,⌛ В планах
Gedonia,No,PC Игры,No,14 окт. 2022,"October 16, 2022 1:46 PM","October 25, 2022 3:57 PM"," Ролевые игры",https://cdn.cloudflare.steamstatic.com/steam/apps/1114220/header.jpg?t=1665741216,Гедония это РПГ с открытым миром с полной свободой создания персонажа и исследования мира.,,85,https://store.steampowered.com/app/1114220/Gedonia/,⌛ В планах
The Mortuary Assistant,No,PC Игры,No,2 авг. 2022,"October 16, 2022 3:12 PM","October 25, 2022 3:57 PM"," Инди,  Приключенческие игры,  Симуляторы",https://cdn.cloudflare.steamstatic.com/steam/apps/1295920/header.jpg?t=1663707306,"Alone with the dead... Embalm corpses, banish demons, save your soul.",,87,https://store.steampowered.com/app/1295920/The_Mortuary_Assistant/,⌛ В планах
Settlement Survival,No,PC Игры,No,11 окт. 2021,"October 22, 2022 9:00 AM","October 25, 2022 3:56 PM"," Симуляторы, Ранний доступ, Стратегии",https://cdn.cloudflare.steamstatic.com/steam/apps/1509510/header.jpg?t=1666323030,"вам предстоит возглавить группу выживших и привести их в новый дом. Меняйте ландшафт, распределяйте припасы, собирайте ресурсы и организовывайте торговые маршруты, чтобы построить уникальный процветающий город.",,84,https://store.steampowered.com/app/1509510/Settlement_Survival/,⌛ В планах
Dyson Sphere Program,No,PC Игры,No,21 янв. 2021,"October 25, 2022 3:55 PM","October 25, 2022 3:56 PM"," Инди,  Симуляторы, Ранний доступ, Стратегии",https://cdn.cloudflare.steamstatic.com/steam/apps/1366540/header.jpg?t=1665978903,"Build the most efficient intergalactic factory in space simulation strategy game Dyson Sphere Program! Harness the power of stars, collect resources, plan and design production lines and develop your interstellar factory from a small space workshop to a galaxy-wide industrial empire.",,96,https://store.steampowered.com/app/1366540/Dyson_Sphere_Program/,⌛ В планах
Gorilla Tag,Yes,VR Игры,Yes,12 фев. 2021,"November 4, 2022 3:57 PM","November 4, 2022 3:58 PM","Бесплатно, Казуальные игры, Ранний доступ, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1533390/header.jpg?t=1665006418,"Run, jump, and climb using only your hands. Play tag or infection with people online. Run away from the infected players, or outmaneuver the survivors to catch them. Embrace your inner ape.",⭐⭐,91,https://store.steampowered.com/app/1533390/Gorilla_Tag/,🔄 Реиграбельна
Myst,No,VR Игры,Yes,26 авг. 2021,"November 4, 2022 3:59 PM","November 4, 2022 3:59 PM"," Инди,  Приключенческие игры",https://cdn.cloudflare.steamstatic.com/steam/apps/1255560/header.jpg?t=1656701042,"Cyan, the indie studio that created beloved classics Myst and Riven, has reimagined Myst. Built from the ground up to play in VR and flatscreen PC, explore Myst in a whole new dimension! Journey to the Ages, unravel puzzles, and be a part of the surrealistic adventure that will become your own.",,84,https://store.steampowered.com/app/1255560/Myst/,⌛ В планах
SCP: Labrat,Yes,VR Игры,Yes,17 мая. 2021,"November 4, 2022 4:00 PM","November 4, 2022 4:01 PM"," Инди,  Приключенческие игры, Бесплатно, Ранний доступ, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1402020/header.jpg?t=1664992677,"You are a test subject in the underground SCP research facility. When a containment breach occurs, you must find your way out. Escape the SCPs, discover anomalous objects, and collect valuable resources along the way.",,87,https://store.steampowered.com/app/1402020/SCP_Labrat/,⌛ В планах
Budget Cuts,No,VR Игры,Yes,14 июн. 2018,"November 4, 2022 4:05 PM","November 4, 2022 4:06 PM"," Инди,  Приключенческие игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/400940/header.jpg?t=1667211647,"Budget Cuts — это VR-игра, в которой вы ловко пробираетесь, прокрадываетесь или с боем и брызгами машинного масла пробиваетесь через враждебный офис!",⭐,76,https://store.steampowered.com/app/400940/Budget_Cuts/,🗑️ Брошена
BONEWORKS,No,VR Игры,Yes,10 дек. 2019,"November 4, 2022 5:55 PM","November 4, 2022 5:57 PM"," Инди,  Приключенческие игры,  Симуляторы, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/823500/header.jpg?t=1581381377,"BONEWORKS is an Experimental Physics VR Adventure. Use found physics weapons, tools, and objects to fight across dangerous playscapes and mysterious architecture.",⭐⭐⭐,90,https://store.steampowered.com/app/823500/BONEWORKS/,🗑️ Брошена
OhShape,No,VR Игры,Yes,13 дек. 2019,"November 4, 2022 5:57 PM","November 4, 2022 5:58 PM"," Инди,  Спортивные игры, Казуальные игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1098100/header.jpg?t=1646234949,"OhShape is a rhythm VR game where players have to move their full body to go through, punch or dodge walls following the beat of the music. It's an immersive game for all type of players inspired by the Japanese TV show Hole in the Wall.",⭐,,https://store.steampowered.com/app/1098100/OhShape/?l=russian,🗑️ Брошена
NoLimits 2 Roller Coaster Simulation,No,PC Игры,No,21 авг. 2014,"November 4, 2022 5:59 PM","November 4, 2022 6:00 PM"," Инди,  Симуляторы",https://cdn.cloudflare.steamstatic.com/steam/apps/301320/header.jpg?t=1632826306,NoLimits 2 is the ultimate roller coaster simulation that lets you experience authentic roller coaster thrills. Climb into the world's most famous roller coasters and experience the excitement in real time. Or design a new roller coaster that is engineered to your specifications.,⭐,89,https://store.steampowered.com/app/301320/NoLimits_2_Roller_Coaster_Simulation/,🗑️ Брошена
Sairento VR,No,PC Игры,No,6 фев. 2018,"November 4, 2022 6:00 PM","November 4, 2022 6:01 PM"," Инди,  Ролевые игры, Стратегии, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/555880/header.jpg?t=1657760694,"VR was made for this. Perform triple jumps, wall runs, power slides and slow time down while blasting away at a foe before landing to deliver a blade attack on another. Kit yourself with katanas, firearms, bows, throwing glaives and legendary relics. Keep upgrading as you play. PURE CYBER NINJA FUN.",⭐,81,https://store.steampowered.com/app/555880/Sairento_VR/,🗑️ Брошена
Clustertruck (в VR),No,VR Игры,Yes,27 сен. 2016,"November 4, 2022 6:05 PM","November 4, 2022 6:06 PM"," Инди, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/397950/header.jpg?t=1667301757,"Clustertruck is a chaotic physics based truckformer. Jump your way through insane levels in a game of ""the floor is lava"" on top of speeding trucks driven by terrible drivers.",🧡,90,https://store.steampowered.com/app/397950/Clustertruck/,⌛ В планах
Somerville,No,PC Игры,No,15 ноя. 2022,"November 15, 2022 11:07 AM","November 15, 2022 11:07 AM"," Приключенческие игры",https://cdn.akamai.steamstatic.com/steam/apps/1671410/header.jpg?t=1668472106,"In the wake of catastrophe, you must find the means to make your family whole again. Somerville is a Sci-Fi adventure grounded in the intimate repercussions of a large-scale conflict.",,,https://store.steampowered.com/app/1671410/Somerville/,⌛ В планах
SURV1V3,Yes,VR Игры,Yes,20 июн. 2021,"November 16, 2022 11:34 PM","November 16, 2022 11:35 PM"," Инди,  Приключенческие игры,  Симуляторы, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/722180/header.jpg?t=1668208940,"Forget what you have played so far, SURV1V3 is a unique realistic zombie survival fps game expressly designed for VIRTUAL REALITY that will let you test your survival skills. Play the thrilling story in single mode or coop with your friends (up to 4 players) and survive the apocalypse!",,78,https://store.steampowered.com/app/722180/SURV1V3/,⌛ В планах
Gladius | Gladiator VR Sword fighting,No,VR Игры,Yes,29 окт. 2022,"November 16, 2022 11:37 PM","November 16, 2022 11:37 PM"," Инди, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/556640/header.jpg?t=1667122074,"Gladius is an immersive VR sword fighting game set in ancient Rome. As a gladiator, you will choose your weapons, train against different enemies, and finally fight for your freedom in an epic battle against the mightiest warriors and mythical creatures of the time. Win the crowd and you will win your freedom.",,71,https://store.steampowered.com/app/556640/Gladius__Gladiator_VR_Sword_fighting/?l=russian,⌛ В планах
Ravenbound,No,PC Игры,No,Coming Soon,"November 23, 2022 7:31 AM","November 23, 2022 7:31 AM"," Ролевые игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1307660/header.jpg?t=1668604907,"Бойтесь всего и ничего — ведь смерть в этом открытом мире лишь приближает вас к победе в непростом roguelite-боевике. Вы — сосуд древней энергии, чьи оружие и умения помогут исполнить ваше предназначение в этом опасном, но прекрасном фэнтезийном мире.",,,https://store.steampowered.com/app/1307660/Ravenbound/,⌛ В планах
Ember Knights,Yes,PC Игры,No,20 апр. 2022,"December 10, 2022 2:50 AM","December 10, 2022 2:50 AM"," Приключенческие игры,  Ролевые игры, Ранний доступ, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1135230/header_alt_assets_3.jpg?t=1670320128,"Ember Knights is an action rogue-lite for 1-4 players where you play as legendary knights, the last spark of hope against the mad sorcerer Praxis and his hordes of unwavering fiends. Wield weapons & skills, build synergies with game-changing relics and free the universe of Praxis’ corruption.",,89,https://store.steampowered.com/app/1135230/Ember_Knights/,⌛ В планах
Revita,No,PC Игры,No,мар 2021,"December 10, 2022 2:57 AM","December 10, 2022 2:57 AM"," Инди,  Приключенческие игры,  Ролевые игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1175460/header.jpg?t=1668811028,"In this fast paced twin-stick roguelite platformer, you play as an unnamed child ascending an ominous clocktower in pursuit of their lost memories. Harvest and sacrifice souls to grow your power in order to challenge procedural encounter rooms and intimidating bosses!",,80,https://store.steampowered.com/app/1175460/Revita/,⌛ В планах
High On Life,No,PC Игры,No,13 дек. 2022,"December 19, 2022 12:59 AM","December 19, 2022 12:59 AM"," Приключенческие игры, Экшены",https://cdn.cloudflare.steamstatic.com/steam/apps/1583230/header.jpg?t=1671088821,"Джастин Ройланд представляет — High On Life. Людям угрожает инопланетный картель, который хочет использовать их в качестве наркотика. Твоя задача — освободить и взять в напарники харизматичное говорящее оружие, победить Гармантюоза и его банду и спасти мир!",,85,https://store.steampowered.com/app/1583230/High_On_Life/,⌛ В планах
In Sound Mind,No,PC Игры,No,29 сен. 2021,"December 28, 2022 6:22 AM","December 28, 2022 6:22 AM"," Инди, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/1119980/header.jpg?t=1655865560,"In Sound Mind is an imaginative first-person psychological horror with frenetic puzzles, unique boss fights, and original music by The Living Tombstone. Journey within the inner workings of the one place you can’t seem to escape—your own mind.",,90,https://store.steampowered.com/app/1119980/In_Sound_Mind/,⌛ В планах
Nightmare House 2,No,PC Игры,No,2010,"December 28, 2022 6:24 AM","December 28, 2022 6:25 AM"," Horror,  Shooter",https://i.playground.ru/p/o9mRn3gnxpRNOqDzSElGlg.jpeg,"Nightmare House 2 is a horror themed modification for the Source Engine.
The mod started as a small map pack for Half-Life 2 in 2005. Nightmare House 2 is to continue the bizarre story of the stranger who had the misfortune to crash his car outside an old house with a horrific past.",,,https://www.moddb.com/mods/nightmare-house-2,⌛ В планах
FINAL FANTASY IX,No,PC Игры,No,14 апр. 2016,"January 3, 2023 1:50 PM","January 3, 2023 1:51 PM"," Ролевые игры",https://cdn.akamai.steamstatic.com/steam/apps/377840/header.jpg?t=1596707344,"Selling over five million copies since its release in 2000, FINAL FANTASY IX proudly returns on Steam! Now you can relive the adventures of Zidane and his crew on PC !",🧡,91,https://store.steampowered.com/app/377840/FINAL_FANTASY_IX/,✔️ Пройдена
Fable - The Lost Chapters,No,PC Игры,No,19 дек. 2011,"January 3, 2023 1:51 PM","January 3, 2023 1:52 PM"," Приключенческие игры,  Ролевые игры, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/204030/header.jpg?t=1577393131,"Каждый человек, которому вы помогли, каждый цветок, который вы растоптали и каждое существо, которое вы убили — всё это навсегда изменит мир. Fable: кем же вы станете?",🧡,89,https://store.steampowered.com/app/204030/Fable__The_Lost_Chapters/,✔️ Пройдена
Fable 3,No,PC Игры,No,2010,"January 3, 2023 1:52 PM","January 3, 2023 1:53 PM"," Приключенческие игры,  Ролевые игры",https://upload.wikimedia.org/wikipedia/ru/2/25/Fable_3.jpg,,⭐,,https://ru.wikipedia.org/wiki/Fable_III,🗑️ Брошена
Split/Second,Yes,PC Игры,No,18 мая. 2010,"January 3, 2023 1:54 PM","January 3, 2023 1:55 PM","Гонки, Экшены",https://cdn.akamai.steamstatic.com/steam/apps/297860/header.jpg?t=1604518394,"Split/Second is an intense action racing game set within a reality TV show. Competitors vie to be the first to the finish line in a set rigged to blow. Players don’t just collide with other vehicles to knock them from the track, but can also trigger devastating events that alter the race dynamics.",⭐⭐⭐,76,https://store.steampowered.com/app/297860/SplitSecond/,🗑️ Брошена
